AllocationUUID,SourceNum,WebLink,AllocationOwner,OwnerClassificationCV,State,ContractorName,success
AZwr_WR200316,1 - Web Scraping,https://www.usbr.gov/projects/,Central Arizona Project,Private,AZ,Central Arizona Project,1
AZwr_WR202944,1 - Web Scraping,https://www.usbr.gov/projects/,Central Arizona Project,Private,AZ,Central Arizona Project,1
AZwr_WR202945,1 - Web Scraping,https://www.usbr.gov/projects/,Central Arizona Project,Private,AZ,Central Arizona Project,1
AZwr_WR206893,1 - Web Scraping,https://www.usbr.gov/projects/,Central Arizona Project,Private,AZ,Central Arizona Project,1
AZwr_WR206894,1 - Web Scraping,https://www.usbr.gov/projects/,Central Arizona Project,Private,AZ,Central Arizona Project,1
AZwr_WR208421,1 - Web Scraping,https://www.usbr.gov/projects/,Maricopa Water District,Private,AZ,Maricopa Water District,1
AZwr_WR212424,1 - Web Scraping,https://www.usbr.gov/projects/,Maricopa Water District,Private,AZ,Maricopa Water District,1
AZwr_WR218283,1 - Web Scraping,https://www.usbr.gov/projects/,Maricopa Water District,Private,AZ,Maricopa Water District,1
AZwr_WR220976,1 - Web Scraping,https://www.usbr.gov/projects/,Maricopa Water District,Private,AZ,Maricopa Water District,1
AZwr_WR221172,1 - Web Scraping,https://www.usbr.gov/projects/,Maricopa Water District,Private,AZ,Maricopa Water District,1
AZwr_WR221213,1 - Web Scraping,https://www.usbr.gov/projects/,Maricopa Water District,Private,AZ,Maricopa Water District,1
AZwr_WR221259,1 - Web Scraping,https://www.usbr.gov/projects/,Maricopa Water District,Private,AZ,Maricopa Water District,1
AZwr_WR221868,1 - Web Scraping,https://www.usbr.gov/projects/,Central Arizona Project,Private,AZ,Central Arizona Project,1
AZwr_WR223294,1 - Web Scraping,https://www.usbr.gov/projects/,Central Arizona Project,Private,AZ,Central Arizona Project,1
AZwr_WR227017,1 - Web Scraping,https://www.usbr.gov/projects/,Central Arizona Project,Private,AZ,Central Arizona Project,1
AZwr_WR228013,1 - Web Scraping,https://www.usbr.gov/projects/,Maricopa Water District,Private,AZ,Maricopa Water District,1
AZwr_WR230540,1 - Web Scraping,https://www.usbr.gov/projects/,Maricopa Water District,Private,AZ,Maricopa Water District,1
AZwr_WR238056,1 - Web Scraping,https://www.usbr.gov/projects/,Central Arizona Project,Private,AZ,Central Arizona Project,1
AZwr_WR238057,1 - Web Scraping,https://www.usbr.gov/projects/,Central Arizona Project,Private,AZ,Central Arizona Project,1
