OID_,STATION_ID,SYSTEM,NAME,Latitude,Longitude,X_UTM,Y_UTM
1,9949.000000000000000,ASHLEY CREEK,ASHLEY TWINS RESERVOIR,40.726466111000036,-109.800949224999954,601259.824999999953434,4509083.604000000283122
2,3133.000000000000000,ASHLEY CREEK,CENTRAL CANAL,40.491608629000041,-109.585557316999939,619869.011999999987893,4483283.467000000178814
3,3130.000000000000000,ASHLEY CREEK,COLTON DITCH,40.484400646000040,-109.598781386999974,618761.000000000000000,4482465.461000000126660
4,9946.000000000000000,ASHLEY CREEK,DEEP CREEK,40.790202518000058,-109.760109579999948,604608.802000000025146,4516206.800999999977648
5,3136.000000000000000,ASHLEY CREEK,DODDS DITCH,40.491665608000062,-109.585060535999958,619911.011999999987893,4483290.467000000178814
6,3134.000000000000000,ASHLEY CREEK,FEEDER,40.492536807000079,-109.584110038999938,619990.013000000035390,4483388.467000000178814
7,3128.000000000000000,ASHLEY CREEK,HIGHLINE CANAL,40.509929508000027,-109.595677018999993,618979.003000000026077,4485303.476999999955297
8,3132.000000000000000,ASHLEY CREEK,ISLAND DITCH,40.491643355000065,-109.585450391999984,619878.011999999987893,4483287.467000000178814
9,9526.000000000000000,ASHLEY CREEK,ISLAND DITCH - REVERSE FLOW PUMPED TO THORNBERG DIVERSION,40.483750828000041,-109.553347670999983,622613.037000000011176,4482455.474999999627471
10,9174.000000000000000,ASHLEY CREEK,LEIDY DITCH,40.772207307000031,-109.789344401999983,602169.819999999948777,4514174.707000000402331
11,9948.000000000000000,ASHLEY CREEK,LONG PARK RESERVOIR CONTNENT,40.771731163000027,-109.764789827999948,604242.805000000051223,4514150.740000000223517
12,9746.000000000000000,ASHLEY CREEK,MOSBY CANAL DIVERSION ON DRY FORK,40.707548075000034,-109.913901846999977,591746.859000000054948,4506859.441999999806285
13,9525.000000000000000,ASHLEY CREEK,RIVER CANAL,40.405197281000028,-109.431223125999963,633119.106999999959953,4473912.487999999895692
14,3131.000000000000000,ASHLEY CREEK,ROCKPOINT CANAL,40.491828154000075,-109.585092520999979,619908.011999999987893,4483308.467000000178814
15,3135.000000000000000,ASHLEY CREEK,SPILL,40.491423531000066,-109.585891592999985,619841.011999999987893,4483262.466000000014901
16,3127.000000000000000,ASHLEY CREEK,STEINAKER DITCH,40.522609369000065,-109.597926743999949,618766.013000000035390,4486707.976999999955297
17,9524.000000000000000,ASHLEY CREEK,UNION CANAL,40.371681930000079,-109.407277456999964,635218.123999999952503,4470228.475999999791384
18,3129.000000000000000,ASHLEY CREEK,UPPER CANAL,40.508375530000080,-109.595308139999986,619013.003999999957159,4485131.474999999627471
19,10496.000000000000000,ASHLEY CREEK,USGS 09261700 BIG BRUSH CREEK ABV RED FLEET RES,40.588848330000076,-109.465413861999991,629863.072000000043772,4494247.928000000305474
20,10497.000000000000000,ASHLEY CREEK,USGS 09266500 ASHLEY CREEK NEAR VERNAL,40.577458125000078,-109.622085989999960,616624.288999999989755,4492764.242999999783933
21,9295.000000000000000,BEAVER RIVER,3 CK RES. OUTFLOW IN CFS,38.296381969000038,-112.422480499999949,375612.326999999990221,4239656.429999999701977
22,9296.000000000000000,BEAVER RIVER,3 CK. RES. STORAGE IN ACFT,38.296333590000074,-112.421395473999951,375707.129000000015367,4239649.601999999955297
23,2605.000000000000000,BEAVER RIVER,ABERDARE CANAL,38.248366474000079,-112.719393443999991,349548.069000000017695,4234769.506000000052154
24,2604.000000000000000,BEAVER RIVER,BARTON DITCH,38.250426245000028,-112.697006338999984,351511.347000000008848,4234961.906000000424683
25,2612.000000000000000,BEAVER RIVER,BEAVER CITY,38.282348840000054,-112.608890620999944,359283.666000000026543,4238366.516999999992549
26,2532.000000000000000,BEAVER RIVER,BEAVER RIVER GOVERNMENT GAGE,38.279924652000034,-112.568258753999942,362833.071999999985565,4238036.449000000022352
27,2613.000000000000000,BEAVER RIVER,BENSON DITCH,38.275834602000032,-112.620512019999978,358254.499000000010710,4237661.399000000208616
28,2614.000000000000000,BEAVER RIVER,EMMERSON DITCH,38.248399658000039,-112.733647031999965,348300.809999999997672,4234796.463999999687076
29,9815.000000000000000,BEAVER RIVER,FURNACE DAM FLOW TO RF MINERSVILLE,38.251091067000061,-112.757204799999954,346244.944000000017695,4235134.018000000156462
30,2603.000000000000000,BEAVER RIVER,FURNACE DITCH,38.251737119000040,-112.757792058999939,346194.917000000015832,4235206.685999999754131
31,9754.000000000000000,BEAVER RIVER,GREENVILLE BRIDGE  BEAVER RIVER FLOW,38.250801128000035,-112.713546164999968,350064.766000000003260,4235030.183000000193715
32,2608.000000000000000,BEAVER RIVER,HARRIS CANAL,38.282693473000052,-112.608943731999943,359279.685999999986961,4238404.841000000014901
33,9297.000000000000000,BEAVER RIVER,KENTS LAKE RESERVOIRS OUTFLOW FOR EA. DAY MEASURED,38.240158144000077,-112.469755480999993,371379.020000000018626,4233482.190999999642372
34,2598.000000000000000,BEAVER RIVER,MAMMOTH CANAL,38.281111576000058,-112.574866934999989,362257.295999999972992,4238177.983000000007451
35,9730.000000000000000,BEAVER RIVER,MINERSVILLE INFLOW,38.251769482000043,-112.791036929999962,343285.853000000002794,4235266.074000000022352
36,9300.000000000000000,BEAVER RIVER,MINERSVILLE RES. OUTFLOW FOR EA. DAY MEASURED,38.216383971000027,-112.836650873999986,339216.402999999991152,4231417.604000000283122
37,9301.000000000000000,BEAVER RIVER,MINERSVILLE RES. STORAGE FOR EA. DAY MEASURED,38.216999698000052,-112.835386038999957,339328.493000000016764,4231483.735000000335276
38,2616.000000000000000,BEAVER RIVER,MORRIS LEVI DITCH,38.250752576000025,-112.691768332999970,351970.370999999984633,4234989.724000000394881
39,2602.000000000000000,BEAVER RIVER,NORTH WEST CANAL,38.282482353000034,-112.634389827999939,357053.566999999980908,4238420.451999999582767
40,2609.000000000000000,BEAVER RIVER,OWENS DITCH,38.280911998000079,-112.574825065999960,362260.581000000005588,4238155.774000000208616
41,2627.000000000000000,BEAVER RIVER,PATTERSON DITCH,38.259913685000072,-112.662726313999940,354530.004000000015367,4235960.241999999620020
42,2593.000000000000000,BEAVER RIVER,ROCKYFORD RESERVOIR NEAR MINERSVILLE,38.216999698000052,-112.835386038999957,339328.493000000016764,4231483.735000000335276
43,2618.000000000000000,BEAVER RIVER,SHEPHERD DITCH,38.276995918000068,-112.621147502999975,358201.168999999994412,4237791.241999999620020
44,2619.000000000000000,BEAVER RIVER,SOUTH DITCH,38.250878763000060,-112.757611035999957,346208.947999999974854,4235111.133999999612570
45,3901.000000000000000,BEAVER RIVER,SOUTH DIVIDER,38.269627250000042,-112.622666178999964,358053.976000000024214,4236975.888000000268221
46,2651.000000000000000,BEAVER RIVER,SOUTH FIELD,38.268870750000076,-112.624657868999975,357878.261999999987893,4236895.000000000000000
47,2606.000000000000000,BEAVER RIVER,TANNER DITCH,38.278324840000039,-112.649202735999950,355749.684000000008382,4237982.108000000007451
48,2610.000000000000000,BEAVER RIVER,THREE CREEKS,38.296333590000074,-112.421395473999951,375707.129000000015367,4239649.601999999955297
49,2601.000000000000000,BEAVER RIVER,WILLIS CANAL A WATER,38.282702020000045,-112.609001210999963,359274.674999999988358,4238405.877000000327826
50,3907.000000000000000,BEAVER RIVER,WILLIS HARRIS - B WATER,38.282702020000045,-112.609001210999963,359274.674999999988358,4238405.877000000327826
51,9561.000000000000000,BERYL-ENTERPRISE ESCALANTE VALLEY,ENCE1,37.615236572000072,-113.512363513999958,278256.447999999974854,4166093.884000000078231
52,9562.000000000000000,BERYL-ENTERPRISE ESCALANTE VALLEY,ENCE2,37.593299204000061,-113.520571840999992,277466.456999999994878,4163678.882000000216067
53,9518.000000000000000,BERYL-ENTERPRISE ESCALANTE VALLEY,ENTERPRISE DAM OUTFLOW,37.576459138000075,-113.726711747999957,259209.220000000001164,4162318.885999999940395
54,9563.000000000000000,BERYL-ENTERPRISE ESCALANTE VALLEY,GUBLER1,37.577649115000042,-113.528875299999982,276686.458999999973457,4161961.881000000052154
55,9564.000000000000000,BERYL-ENTERPRISE ESCALANTE VALLEY,GUBLER2,37.546696540000028,-113.523765225999966,277045.489000000001397,4158514.878000000026077
56,9565.000000000000000,BERYL-ENTERPRISE ESCALANTE VALLEY,HAFEN1,37.524693543000069,-113.510961830999975,278111.523999999975786,4156042.873999999836087
57,9566.000000000000000,BERYL-ENTERPRISE ESCALANTE VALLEY,HAFEN2,37.521611435000068,-113.510971577999953,278101.527000000001863,4155700.873000000137836
58,9519.000000000000000,BERYL-ENTERPRISE ESCALANTE VALLEY,NEW CASTLE DAM OUTFLOW,37.654105411000046,-113.530323552999960,276787.401000000012573,4170449.884000000078231
59,9424.000000000000000,BLACKSMITH FORK RIVER,NIBLEY BLACKSMITH FORK CANAL,41.645567862000064,-111.818585480999957,431832.505999999993946,4610748.166000000201166
60,9847.000000000000000,BLUE MOUNTAIN,MONTICELLO - BANKHEAD SPRINGS,37.875414601000045,-109.428265748999991,638232.472999999998137,4193155.717999999877065
61,9846.000000000000000,BLUE MOUNTAIN,MONTICELLO - NORTH FORK SPRINGS,37.873847528000056,-109.428284919999953,638233.716000000014901,4192981.807000000029802
